customerkey,cohort_year,total_orders,net_revenue,first_purchase_date,last_purchase_date,days_since_last_purchase,churn_status,avg_order_value
467542,2019,1,45134.23,2019-07-08,2019-07-08,1748,Churned,45134.23
1029513,2015,5,45130.33,2015-02-07,2020-02-28,1513,Churned,9026.07
1409075,2022,2,45056.75,2022-05-12,2023-11-29,143,At Risk,22528.38
1331400,2015,3,45030.18,2015-05-30,2022-03-03,779,Churned,15010.06
526638,2019,1,44990.15,2019-01-22,2019-01-22,1915,Churned,44990.15
1553480,2018,6,44341.68,2018-10-17,2023-08-21,243,Churned,7390.28
581777,2019,3,44268.11,2019-01-05,2023-07-25,270,Churned,14756.04
2017031,2016,3,44259.74,2016-06-25,2022-09-27,571,Churned,14753.25
1882379,2021,3,44155.47,2021-08-27,2022-06-25,665,Churned,14718.49
1866967,2017,4,43527.30,2017-01-14,2021-12-08,864,Churned,10881.83
1749736,2017,3,43476.98,2017-08-12,2022-07-04,656,Churned,14492.33
919853,2017,2,43024.18,2017-11-15,2024-01-04,107,At Risk,21512.09
1546925,2018,3,42552.90,2018-02-09,2023-09-23,210,Churned,14184.30
1471298,2020,4,42350.01,2020-02-24,2022-11-19,518,Churned,10587.50
1082107,2015,1,42224.98,2015-08-14,2015-08-14,3172,Churned,42224.98
1546198,2016,1,42063.08,2016-12-23,2016-12-23,2675,Churned,42063.08
1657850,2018,4,41904.11,2018-12-21,2023-10-21,182,Churned,10476.03
981997,2018,2,41781.49,2018-07-07,2019-05-22,1795,Churned,20890.75
569441,2018,4,41291.22,2018-09-20,2022-09-22,576,Churned,10322.81
1653360,2017,2,41196.94,2017-06-07,2020-02-27,1514,Churned,20598.47
1107087,2018,2,41186.23,2018-10-15,2021-08-03,991,Churned,20593.12
399184,2016,3,41116.60,2016-01-06,2020-05-13,1438,Churned,13705.53
451581,2020,5,40848.69,2020-02-22,2023-03-28,389,Churned,8169.74
1834524,2018,8,40797.35,2018-11-01,2023-12-30,112,At Risk,5099.67
1473967,2019,2,40755.59,2019-07-01,2021-09-25,938,Churned,20377.80
995324,2017,3,40588.01,2017-09-28,2022-01-18,823,Churned,13529.34
1305589,2015,3,40399.28,2015-10-02,2019-02-12,1894,Churned,13466.43
1680532,2017,5,40394.81,2017-11-06,2023-12-21,121,At Risk,8078.96
1135084,2017,2,40317.87,2017-02-18,2021-08-19,975,Churned,20158.94
2017674,2018,2,40253.88,2018-10-01,2019-03-07,1871,Churned,20126.94
999700,2015,8,40039.53,2015-03-25,2021-12-28,844,Churned,5004.94
1658550,2019,1,40030.42,2019-09-07,2019-09-07,1687,Churned,40030.42
1960779,2018,3,39998.06,2018-03-17,2022-06-03,687,Churned,13332.69
1981775,2017,3,39844.48,2017-10-26,2023-06-27,298,Churned,13281.49
1347540,2017,6,39823.44,2017-10-19,2023-06-15,310,Churned,6637.24
1967661,2020,4,39692.17,2020-02-29,2024-01-31,80,Active,9923.04
1064537,2017,1,39674.60,2017-11-25,2017-11-25,2338,Churned,39674.60
1978666,2018,4,39658.77,2018-06-09,2022-10-17,551,Churned,9914.69
586828,2017,5,39637.07,2017-09-27,2023-11-11,161,At Risk,7927.41
1830241,2018,3,39407.93,2018-02-26,2019-09-20,1674,Churned,13135.98
1614996,2016,3,39275.29,2016-04-30,2023-03-02,415,Churned,13091.76
1012120,2016,2,39050.60,2016-02-20,2024-02-18,62,Active,19525.30
1123496,2018,4,39037.45,2018-08-18,2022-12-01,506,Churned,9759.36
1727440,2016,3,38928.70,2016-01-30,2022-05-28,693,Churned,12976.23
1996595,2017,2,38602.38,2017-12-23,2018-10-16,2013,Churned,19301.19
1060350,2018,2,38553.41,2018-02-22,2018-10-29,2000,Churned,19276.71
422957,2018,4,38362.88,2018-11-21,2022-10-01,567,Churned,9590.72
1847546,2019,1,38163.81,2019-12-19,2019-12-19,1584,Churned,38163.81
1043033,2015,2,38142.21,2015-06-10,2016-07-11,2840,Churned,19071.11
861510,2016,2,37860.38,2016-11-12,2024-02-21,59,Active,18930.19
1115881,2018,1,37857.39,2018-10-10,2018-10-10,2019,Churned,37857.39
1853707,2015,2,37794.79,2015-08-10,2019-02-25,1881,Churned,18897.40
1476213,2018,2,37430.50,2018-04-19,2021-11-21,881,Churned,18715.25
529837,2019,4,37374.55,2019-09-21,2022-12-30,477,Churned,9343.64
568465,2022,2,37306.98,2022-08-13,2023-05-22,334,Churned,18653.49
2088201,2016,4,37207.67,2016-12-10,2024-03-12,39,Active,9301.92
535022,2016,5,37197.14,2016-12-05,2024-01-31,80,Active,7439.43
1666311,2017,4,37126.70,2017-06-03,2022-11-12,525,Churned,9281.68
985871,2021,1,37018.63,2021-05-06,2021-05-06,1080,Churned,37018.63
1287308,2016,3,37015.31,2016-07-18,2021-10-07,926,Churned,12338.44
989812,2016,1,36923.70,2016-06-23,2016-06-23,2858,Churned,36923.70
72844,2019,2,36914.74,2019-10-08,2022-10-17,551,Churned,18457.37
1004620,2016,2,36797.60,2016-05-19,2019-01-09,1928,Churned,18398.80
1980396,2018,4,36771.26,2018-10-12,2022-09-30,568,Churned,9192.82
1376219,2022,4,36607.02,2022-02-18,2023-10-05,198,Churned,9151.76
913526,2015,3,36582.27,2015-03-28,2023-09-02,231,Churned,12194.09
539962,2015,5,36575.73,2015-07-21,2023-10-14,189,Churned,7315.15
1170264,2022,2,36485.34,2022-10-24,2024-02-15,65,Active,18242.67
431249,2018,3,36456.44,2018-09-09,2021-03-23,1124,Churned,12152.15
496994,2016,1,36239.12,2016-07-28,2016-07-28,2823,Churned,36239.12
1937192,2018,2,35839.34,2018-02-17,2024-03-07,44,Active,17919.67
425765,2019,4,35826.23,2019-12-31,2022-12-09,498,Churned,8956.56
1156239,2019,3,35760.04,2019-07-09,2023-08-21,243,Churned,11920.01
459519,2019,6,35521.83,2019-01-11,2023-02-15,430,Churned,5920.31
1497803,2019,2,35520.88,2019-03-06,2020-02-21,1520,Churned,17760.44
795483,2016,5,35511.53,2016-01-29,2023-08-26,238,Churned,7102.31
1206017,2018,2,35469.37,2018-06-01,2023-03-09,408,Churned,17734.69
833947,2019,1,35312.82,2019-01-30,2019-01-30,1907,Churned,35312.82
1988289,2016,4,35311.62,2016-01-06,2021-07-23,1002,Churned,8827.91
1267645,2019,2,35296.77,2019-10-18,2022-11-09,528,Churned,17648.39
1854506,2019,1,35280.29,2019-01-31,2019-01-31,1906,Churned,35280.29
568829,2019,1,35250.65,2019-05-22,2019-05-22,1795,Churned,35250.65
1223005,2019,2,35207.04,2019-03-01,2023-10-21,182,Churned,17603.52
1065486,2018,3,35091.14,2018-10-04,2019-08-16,1709,Churned,11697.05
641710,2021,2,34988.75,2021-05-22,2022-10-27,541,Churned,17494.38
1151504,2019,2,34935.20,2019-02-06,2022-09-10,588,Churned,17467.60
368574,2019,2,34897.65,2019-02-22,2020-01-11,1561,Churned,17448.83
977503,2016,2,34887.27,2016-09-01,2019-03-12,1866,Churned,17443.64
1885137,2018,7,34813.89,2018-08-09,2023-03-09,408,Churned,4973.41
1008578,2021,1,34804.20,2021-12-30,2021-12-30,842,Churned,34804.20
1074024,2015,3,34725.60,2015-01-06,2019-09-30,1664,Churned,11575.20
1842454,2018,3,34649.93,2018-05-05,2022-12-07,500,Churned,11549.98
1265700,2016,2,34536.18,2016-08-05,2019-03-02,1876,Churned,17268.09
415206,2015,2,34510.51,2015-11-21,2023-01-20,456,Churned,17255.26
467582,2022,2,34507.24,2022-10-21,2023-02-23,422,Churned,17253.62
1937428,2018,5,34450.79,2018-12-06,2024-02-24,56,Active,6890.16
1464037,2015,4,34371.08,2015-09-23,2019-05-10,1807,Churned,8592.77
1491014,2017,4,34329.63,2017-06-28,2024-02-08,72,Active,8582.41
1058027,2016,3,34272.90,2016-01-16,2023-08-31,233,Churned,11424.30
1340701,2018,2,34244.30,2018-06-27,2021-08-16,978,Churned,17122.15
677949,2017,4,34227.48,2017-05-18,2023-07-15,280,Churned,8556.87
1684062,2015,6,34202.32,2015-02-14,2023-04-27,359,Churned,5700.39
1242270,2016,2,34082.78,2016-08-27,2019-09-19,1675,Churned,17041.39
1340109,2018,2,34073.00,2018-03-13,2021-07-10,1015,Churned,17036.50
326979,2016,5,33877.98,2016-02-25,2022-10-11,557,Churned,6775.60
986446,2021,4,33810.53,2021-11-15,2023-04-21,365,Churned,8452.63
1055134,2017,1,33804.79,2017-11-16,2017-11-16,2347,Churned,33804.79
1540476,2018,4,33619.62,2018-06-09,2022-03-10,772,Churned,8404.91
1355146,2019,5,33501.99,2019-01-10,2023-10-10,193,Churned,6700.40
1092157,2015,4,33396.39,2015-08-26,2023-09-20,213,Churned,8349.10
615187,2015,1,33349.70,2015-08-08,2015-08-08,3178,Churned,33349.70
474440,2022,3,33264.04,2022-01-26,2023-09-25,208,Churned,11088.01
1957454,2019,2,33184.17,2019-09-18,2022-01-15,826,Churned,16592.09
1796913,2017,6,33062.72,2017-12-27,2023-08-13,251,Churned,5510.45
1567439,2016,5,33057.34,2016-04-28,2023-09-29,204,Churned,6611.47
582766,2017,5,33050.62,2017-03-22,2023-02-06,439,Churned,6610.12
437225,2018,1,32900.95,2018-11-07,2018-11-07,1991,Churned,32900.95
1239236,2018,1,32826.99,2018-01-11,2018-01-11,2291,Churned,32826.99
997592,2015,2,32782.58,2015-06-06,2021-09-03,960,Churned,16391.29
687919,2019,1,32763.05,2019-02-16,2019-02-16,1890,Churned,32763.05
639159,2018,2,32703.35,2018-02-17,2019-10-03,1661,Churned,16351.68
619875,2020,1,32609.47,2020-05-15,2020-05-15,1436,Churned,32609.47
452503,2018,4,32555.04,2018-06-27,2023-08-10,254,Churned,8138.76
902222,2022,2,32537.99,2022-06-12,2023-09-28,205,Churned,16269.00
1896424,2019,4,32465.20,2019-03-20,2022-11-11,526,Churned,8116.30
965576,2016,1,32436.63,2016-07-22,2016-07-22,2829,Churned,32436.63
910248,2015,2,32401.03,2015-09-25,2019-08-16,1709,Churned,16200.52
2073847,2017,4,32346.37,2017-12-21,2022-05-31,690,Churned,8086.59
416646,2019,3,32336.52,2019-05-16,2023-07-08,287,Churned,10778.84
759419,2018,10,32282.59,2018-02-09,2023-09-09,224,Churned,3228.26
1800950,2015,5,32265.50,2015-10-07,2021-12-31,841,Churned,6453.10
1834728,2019,2,32197.56,2019-02-07,2019-09-25,1669,Churned,16098.78
598225,2015,7,32153.70,2015-12-26,2023-05-11,345,Churned,4593.39
1141478,2016,3,32140.10,2016-11-24,2019-11-30,1603,Churned,10713.37
2094924,2019,3,32130.85,2019-08-21,2022-09-13,585,Churned,10710.28
1729063,2019,1,32130.00,2019-11-02,2019-11-02,1631,Churned,32130.00
1138394,2019,1,32092.51,2019-10-24,2019-10-24,1640,Churned,32092.51
570689,2015,5,32046.75,2015-04-21,2023-09-27,206,Churned,6409.35
566577,2021,4,32020.87,2021-06-15,2023-10-29,174,At Risk,8005.22
1300452,2015,3,31971.48,2015-08-18,2024-02-12,68,Active,10657.16
943261,2019,1,31889.37,2019-09-19,2019-09-19,1675,Churned,31889.37
576841,2015,3,31868.69,2015-10-06,2022-08-18,611,Churned,10622.90
1570597,2019,3,31835.56,2019-11-07,2023-08-14,250,Churned,10611.85
841013,2018,3,31772.58,2018-02-27,2022-07-16,644,Churned,10590.86
1015273,2022,2,31711.41,2022-01-29,2022-09-24,574,Churned,15855.71
632303,2017,2,31562.61,2017-11-24,2018-01-25,2277,Churned,15781.31
1110340,2017,4,31541.77,2017-09-05,2021-09-01,962,Churned,7885.44
1539270,2015,4,31528.54,2015-01-15,2024-02-03,77,Active,7882.14
1148081,2015,4,31423.58,2015-07-11,2022-02-23,787,Churned,7855.90
473276,2017,3,31394.68,2017-11-08,2023-01-11,465,Churned,10464.89
1678130,2018,3,31331.64,2018-08-18,2022-09-19,579,Churned,10443.88
2033504,2018,3,31312.30,2018-12-27,2021-10-06,927,Churned,10437.43
1273185,2021,4,31305.61,2021-05-26,2023-09-16,217,Churned,7826.40
1726577,2015,2,31213.72,2015-06-12,2018-11-19,1979,Churned,15606.86
1403612,2017,4,31199.58,2017-06-12,2022-03-18,764,Churned,7799.90
1157923,2017,1,31124.02,2017-09-15,2017-09-15,2409,Churned,31124.02
1716054,2015,6,31076.56,2015-12-10,2022-05-31,690,Churned,5179.43
1825245,2018,5,30988.15,2018-04-16,2023-10-17,186,Churned,6197.63
562046,2015,5,30982.56,2015-09-15,2024-01-10,101,At Risk,6196.51
844967,2022,4,30978.77,2022-03-24,2023-02-21,424,Churned,7744.69
1127498,2021,2,30962.99,2021-12-22,2023-01-27,449,Churned,15481.50
971502,2021,1,30912.54,2021-04-22,2021-04-22,1094,Churned,30912.54
1601546,2019,2,30889.64,2019-04-23,2019-09-28,1666,Churned,15444.82
885676,2021,2,30876.30,2021-08-18,2024-03-04,47,Active,15438.15
788433,2016,1,30843.29,2016-12-31,2016-12-31,2667,Churned,30843.29
1326170,2019,4,30840.62,2019-01-17,2022-09-07,591,Churned,7710.16
1674832,2017,4,30818.67,2017-05-20,2023-10-14,189,Churned,7704.67
1188419,2020,3,30724.12,2020-03-04,2024-02-17,63,Active,10241.37
1492870,2019,3,30717.70,2019-09-26,2023-11-13,159,At Risk,10239.23
1863331,2016,5,30664.03,2016-08-22,2022-03-23,759,Churned,6132.81
1092254,2022,1,30585.20,2022-07-14,2022-07-14,646,Churned,30585.20
1607647,2016,2,30529.75,2016-09-29,2024-01-06,105,At Risk,15264.88
1911099,2018,4,30394.36,2018-08-29,2023-10-18,185,Churned,7598.59
991097,2018,4,30387.58,2018-08-18,2023-05-11,345,Churned,7596.90
1732511,2021,6,30352.79,2021-08-30,2024-01-24,87,Active,5058.80
453193,2020,3,30269.88,2020-05-16,2023-09-15,218,Churned,10089.96
1097439,2022,3,30147.57,2022-01-01,2023-12-15,127,At Risk,10049.19
965819,2016,1,30103.35,2016-12-15,2016-12-15,2683,Churned,30103.35
1569652,2021,4,30041.82,2021-10-21,2024-04-11,9,Active,7510.46
1762556,2017,2,30037.38,2017-05-13,2023-08-17,247,Churned,15018.69
1346733,2017,6,30020.17,2017-08-30,2023-03-12,405,Churned,5003.36
1997280,2021,4,30020.14,2021-02-02,2022-11-24,513,Churned,7505.04
1385582,2017,2,29975.03,2017-09-15,2022-02-26,784,Churned,14987.52
912671,2017,5,29970.30,2017-09-21,2022-11-03,534,Churned,5994.06
1844869,2019,5,29947.14,2019-05-09,2022-12-23,484,Churned,5989.43
1603190,2018,5,29943.49,2018-08-11,2022-09-03,595,Churned,5988.70
1982948,2018,2,29924.07,2018-09-15,2022-01-06,835,Churned,14962.04
1985020,2021,3,29912.83,2021-12-04,2022-05-10,711,Churned,9970.94
1828620,2022,4,29874.59,2022-01-17,2024-03-09,42,Active,7468.65
1871300,2018,5,29812.84,2018-08-15,2022-11-04,533,Churned,5962.57
1935940,2017,4,29775.43,2017-10-04,2022-12-24,483,Churned,7443.86
1201282,2019,5,29648.52,2019-02-25,2023-09-29,204,Churned,5929.70
1981069,2019,4,29625.92,2019-01-17,2023-06-12,313,Churned,7406.48
443303,2018,5,29558.94,2018-12-29,2024-02-04,76,Active,5911.79
2061946,2018,5,29488.72,2018-09-07,2023-10-26,177,At Risk,5897.74
1017783,2017,3,29469.25,2017-03-14,2023-10-31,172,At Risk,9823.08
352340,2018,2,29401.75,2018-03-12,2018-11-07,1991,Churned,14700.88
1717954,2017,4,29347.19,2017-05-13,2022-06-24,666,Churned,7336.80
2065757,2019,3,29313.56,2019-11-27,2023-02-13,432,Churned,9771.19
1923174,2016,3,29306.84,2016-02-20,2019-03-13,1865,Churned,9768.95
1128293,2017,2,29272.21,2017-07-06,2021-06-26,1029,Churned,14636.11
1804305,2019,3,29269.11,2019-11-08,2023-01-17,459,Churned,9756.37
515170,2019,2,29263.53,2019-11-27,2021-07-05,1020,Churned,14631.77
1546252,2018,3,29247.49,2018-11-09,2021-08-09,985,Churned,9749.16
1934448,2019,1,29183.03,2019-08-17,2019-08-17,1708,Churned,29183.03
603280,2022,1,29113.69,2022-10-29,2022-10-29,539,Churned,29113.69
484457,2017,5,29018.41,2017-12-12,2023-11-11,161,At Risk,5803.68
1644364,2015,2,29013.65,2015-10-24,2019-06-25,1761,Churned,14506.83
960528,2018,2,28940.55,2018-02-15,2018-05-18,2164,Churned,14470.28
1865804,2016,7,28908.30,2016-10-06,2023-04-29,357,Churned,4129.76
1685665,2018,1,28899.94,2018-02-02,2018-02-02,2269,Churned,28899.94
1339539,2019,3,28894.57,2019-01-22,2023-12-26,116,At Risk,9631.52
563987,2019,3,28869.49,2019-10-09,2023-08-17,247,Churned,9623.16
230055,2016,6,28832.82,2016-06-01,2024-02-08,72,Active,4805.47
656831,2022,1,28815.74,2022-01-22,2022-01-22,819,Churned,28815.74
2049242,2015,5,28814.12,2015-07-22,2022-12-01,506,Churned,5762.82
1503897,2015,4,28745.96,2015-02-28,2023-08-12,252,Churned,7186.49
1936192,2015,3,28727.52,2015-11-28,2022-12-21,486,Churned,9575.84
1589682,2022,3,28585.07,2022-12-22,2023-10-12,191,Churned,9528.36
1607699,2022,1,28533.78,2022-07-01,2022-07-01,659,Churned,28533.78
1241729,2022,2,28507.49,2022-06-18,2023-09-05,228,Churned,14253.75
1863904,2016,3,28501.00,2016-03-12,2023-12-16,126,At Risk,9500.33
319611,2017,2,28493.09,2017-11-07,2023-11-30,142,At Risk,14246.55
627836,2021,2,28483.18,2021-10-29,2021-12-29,843,Churned,14241.59
563061,2018,2,28456.93,2018-07-12,2022-11-03,534,Churned,14228.47
1730502,2017,2,28448.86,2017-03-15,2019-09-28,1666,Churned,14224.43
1735041,2018,4,28433.99,2018-08-15,2022-03-04,778,Churned,7108.50
1838663,2021,5,28403.20,2021-08-23,2022-12-24,483,Churned,5680.64
1617127,2017,2,28401.40,2017-09-05,2017-12-16,2317,Churned,14200.70
1294848,2022,2,28367.59,2022-02-12,2022-08-10,619,Churned,14183.80
1388182,2017,3,28279.63,2017-05-06,2022-11-19,518,Churned,9426.54
1990619,2016,2,28258.26,2016-11-19,2022-12-03,504,Churned,14129.13
1590654,2021,2,28256.20,2021-08-30,2022-12-23,484,Churned,14128.10
659871,2018,3,28238.54,2018-05-12,2023-05-03,353,Churned,9412.85
1349780,2019,1,28195.07,2019-09-07,2019-09-07,1687,Churned,28195.07
1896050,2018,1,28101.22,2018-08-09,2018-08-09,2081,Churned,28101.22
1704475,2019,4,28064.70,2019-03-12,2023-10-30,173,At Risk,7016.18
1291541,2016,3,28063.02,2016-12-19,2022-02-26,784,Churned,9354.34
1328836,2022,2,28058.88,2022-07-02,2022-10-07,561,Churned,14029.44
1472590,2022,4,28043.27,2022-08-16,2023-12-06,136,At Risk,7010.82
471964,2016,3,27937.77,2016-08-31,2022-04-28,723,Churned,9312.59
1105107,2018,4,27930.04,2018-10-31,2023-02-27,418,Churned,6982.51
1093116,2019,1,27877.79,2019-01-26,2019-01-26,1911,Churned,27877.79
845045,2019,5,27849.09,2019-09-28,2023-06-17,308,Churned,5569.82
1127068,2018,2,27828.61,2018-02-14,2023-01-28,448,Churned,13914.31
1730212,2015,3,27827.92,2015-12-24,2023-12-01,141,At Risk,9275.97
922567,2015,5,27796.74,2015-07-16,2023-02-27,418,Churned,5559.35
1496962,2015,4,27796.31,2015-10-31,2023-10-11,192,Churned,6949.08
1503524,2018,4,27755.65,2018-07-26,2023-12-02,140,At Risk,6938.91
1649539,2021,1,27754.50,2021-08-16,2021-08-16,978,Churned,27754.50
1821180,2017,2,27745.93,2017-11-04,2019-02-02,1904,Churned,13872.97
1205936,2017,2,27712.55,2017-12-14,2023-05-17,339,Churned,13856.28
219339,2018,4,27652.63,2018-05-01,2023-01-03,473,Churned,6913.16
1310198,2018,2,27644.58,2018-05-28,2019-02-11,1895,Churned,13822.29
1755634,2019,5,27607.54,2019-05-25,2022-10-23,545,Churned,5521.51
1118736,2015,4,27541.27,2015-06-03,2017-06-23,2493,Churned,6885.32
2053023,2021,1,27540.00,2021-08-05,2021-08-05,989,Churned,27540.00
1625896,2018,3,27538.92,2018-11-09,2023-02-21,424,Churned,9179.64
1959695,2017,4,27522.39,2017-02-14,2023-01-03,473,Churned,6880.60
752954,2016,2,27466.49,2016-12-20,2023-01-14,462,Churned,13733.25
1292239,2019,2,27447.84,2019-01-04,2020-04-02,1479,Churned,13723.92
420540,2021,2,27339.16,2021-02-25,2023-02-22,423,Churned,13669.58
1256660,2020,3,27324.82,2020-03-07,2023-09-11,222,Churned,9108.27
1433067,2017,6,27284.61,2017-06-07,2023-07-24,271,Churned,4547.44
2065655,2020,3,27281.13,2020-05-05,2023-05-04,352,Churned,9093.71
1012347,2016,5,27276.71,2016-02-16,2024-04-20,0,Active,5455.34
546127,2018,4,27199.74,2018-01-23,2022-10-19,549,Churned,6799.94
467243,2019,4,27199.12,2019-02-06,2019-12-18,1585,Churned,6799.78
584989,2017,5,27180.83,2017-06-07,2023-04-30,356,Churned,5436.17
1029281,2021,1,27176.79,2021-11-08,2021-11-08,894,Churned,27176.79
420881,2018,1,27126.30,2018-10-10,2018-10-10,2019,Churned,27126.30
1484504,2019,2,27123.98,2019-09-25,2022-05-05,716,Churned,13561.99
1416600,2019,4,27121.37,2019-02-26,2022-12-06,501,Churned,6780.34
917653,2021,1,27045.67,2021-06-25,2021-06-25,1030,Churned,27045.67
302947,2021,3,27038.65,2021-08-19,2023-10-04,199,Churned,9012.88
1730475,2018,4,27032.89,2018-10-27,2022-07-06,654,Churned,6758.22
746892,2021,1,27023.19,2021-09-23,2021-09-23,940,Churned,27023.19
1653266,2018,1,27020.04,2018-06-30,2018-06-30,2121,Churned,27020.04
1462494,2019,5,26990.68,2019-01-03,2023-08-22,242,Churned,5398.14
1599902,2015,5,26983.40,2015-03-14,2019-05-29,1788,Churned,5396.68
1137359,2023,1,26962.75,2023-06-28,2023-06-28,297,Churned,26962.75
400856,2019,3,26958.01,2019-06-15,2021-10-27,906,Churned,8986.00
870099,2022,1,26931.35,2022-02-25,2022-02-25,785,Churned,26931.35
1390742,2018,6,26931.07,2018-10-25,2024-02-22,58,Active,4488.51
936224,2023,2,26856.27,2023-10-03,2023-10-08,195,Churned,13428.14
1219523,2015,4,26847.17,2015-06-23,2024-01-26,85,Active,6711.79
497891,2015,6,26786.16,2015-11-04,2023-11-27,145,At Risk,4464.36
1076448,2016,2,26782.26,2016-02-29,2018-09-14,2045,Churned,13391.13
574580,2020,2,26760.18,2020-12-26,2023-10-19,184,Churned,13380.09
1919749,2019,3,26759.69,2019-11-13,2023-02-22,423,Churned,8919.90
392666,2017,3,26758.63,2017-05-06,2022-12-27,480,Churned,8919.54
1891689,2018,3,26737.11,2018-09-25,2021-12-29,843,Churned,8912.37
409880,2018,2,26714.88,2018-05-28,2023-01-24,452,Churned,13357.44
1546619,2022,3,26694.00,2022-06-16,2022-12-20,487,Churned,8898.00
2060142,2021,3,26687.18,2021-02-22,2023-07-26,269,Churned,8895.73
1877957,2016,3,26686.58,2016-11-10,2019-05-27,1790,Churned,8895.53
1087050,2015,3,26670.65,2015-10-15,2023-02-22,423,Churned,8890.22
1628765,2017,6,26643.48,2017-05-26,2023-06-16,309,Churned,4440.58
1531441,2015,3,26638.16,2015-02-25,2023-01-03,473,Churned,8879.39
1454025,2018,5,26631.38,2018-10-16,2022-11-04,533,Churned,5326.28
869875,2019,3,26594.09,2019-02-09,2022-08-31,598,Churned,8864.70
430146,2018,4,26578.01,2018-08-15,2020-07-24,1366,Churned,6644.50
2091905,2018,4,26509.40,2018-09-21,2024-02-23,57,Active,6627.35
1730539,2018,2,26509.22,2018-12-15,2021-08-12,982,Churned,13254.61
1703218,2018,4,26507.28,2018-06-09,2023-06-14,311,Churned,6626.82
1474499,2018,4,26497.93,2018-07-26,2023-07-15,280,Churned,6624.48
85531,2018,1,26485.08,2018-12-17,2018-12-17,1951,Churned,26485.08
2005758,2018,5,26409.32,2018-08-14,2022-08-29,600,Churned,5281.86
2031489,2018,2,26396.17,2018-10-24,2022-02-19,791,Churned,13198.09
1989140,2017,3,26385.31,2017-02-11,2023-01-23,453,Churned,8795.10
724557,2015,6,26370.40,2015-07-10,2023-10-28,175,At Risk,4395.07
1526638,2019,3,26360.85,2019-12-28,2021-08-17,977,Churned,8786.95
1793456,2015,2,26352.16,2015-12-18,2019-05-15,1802,Churned,13176.08
1341023,2015,3,26344.61,2015-05-22,2019-03-21,1857,Churned,8781.54
759971,2016,1,26341.87,2016-03-05,2016-03-05,2968,Churned,26341.87
